600 4599
114 367 7
96 50 56
311 443 31
447 31 26
243 104 90
243 6 5
381 146 28
507 441 68
538 22 94
334 212 8
57 523 57
70 474 65
388 144 91
301 268 81
100 551 17
286 479 99
292 339 3
256 169 87
544 506 14
388 468 21
562 210 44
278 161 59
8 301 5
82 14 56
370 588 78
149 328 87
54 393 55
149 129 70
462 96 52
91 568 100
242 483 73
243 111 11
80 466 72
257 489 23
566 46 5
385 183 29
236 395 60
530 285 91
353 598 67
137 126 31
545 94 8
122 431 51
595 25 17
122 74 19
221 228 72
408 582 18
38 4 7
344 14 96
94 309 100
442 207 12
393 504 82
389 364 40
260 489 15
487 78 7
408 91 42
567 130 7
371 259 95
117 227 79
279 175 24
100 339 84
456 55 20
567 506 41
71 408 55
72 307 85
552 10 57
88 442 25
492 289 38
256 226 48
384 339 13
531 508 5
300 84 61
345 230 62
568 394 92
1 290 28
514 261 38
247 394 74
105 404 53
366 289 72
593 568 68
305 270 16
557 307 39
75 488 36
71 166 74
509 196 42
234 261 15
182 356 38
344 268 71
585 503 51
577 380 4
283 270 98
574 250 31
363 34 64
346 408 95
427 42 80
487 225 35
162 542 54
410 51 30
223 433 96
532 443 63
32 299 90
176 188 100
474 486 15
568 22 5
247 244 78
159 288 98
310 209 71
474 518 49
185 428 8
282 156 43
406 124 36
376 39 47
593 470 10
128 568 81
7 304 92
466 593 1
568 358 94
509 370 30
507 94 45
568 19 19
90 274 90
205 137 34
402 285 59
366 520 36
81 426 33
529 71 85
203 191 66
299 338 27
512 473 100
397 555 51
313 82 89
148 500 27
152 84 52
510 294 2
32 534 30
222 198 30
309 352 47
25 590 35
434 418 95
5 315 17
475 282 7
13 472 30
447 151 77
497 307 11
135 225 89
381 424 59
591 445 79
573 393 75
317 275 88
173 217 49
528 574 52
356 317 34
505 410 79
2 90 13
24 544 67
560 216 39
549 565 88
396 25 20
367 555 75
514 148 99
408 540 66
340 40 37
474 160 91
417 424 15
265 497 54
89 462 21
109 62 93
303 509 92
519 348 91
42 38 88
442 236 5
363 73 60
307 598 90
172 192 11
124 59 4
584 163 89
463 487 58
570 598 64
319 443 80
352 410 17
585 552 13
143 263 25
184 490 79
158 263 71
179 77 57
89 590 1
581 425 15
76 16 2
159 81 5
367 597 6
59 492 6
560 319 72
594 117 99
340 91 76
389 439 64
272 76 35
274 24 38
21 439 1
55 342 18
308 56 88
60 88 67
460 261 66
182 562 29
486 443 83
504 457 70
429 111 83
308 161 13
202 162 10
172 568 23
377 276 52
263 422 37
101 510 81
2 230 87
330 453 9
351 102 38
373 297 58
367 491 26
276 165 81
183 557 81
100 18 84
518 102 38
172 555 61
13 583 51
582 504 21
12 148 17
1 112 88
247 392 18
484 439 5
509 496 30
216 529 79
447 138 44
481 108 96
31 340 5
73 260 33
145 164 20
590 453 75
578 112 87
361 596 75
459 33 41
238 57 58
48 286 36
329 117 48
347 170 19
165 323 75
185 469 68
546 234 10
489 265 91
149 245 97
502 418 19
298 45 47
109 37 87
46 268 32
47 272 6
452 484 32
125 409 51
153 306 95
582 561 52
17 451 67
292 71 37
18 267 99
461 593 47
24 437 56
589 299 31
95 533 85
313 100 62
402 27 38
559 442 71
160 107 44
557 309 63
411 483 90
484 333 3
141 338 31
59 184 21
459 176 45
267 421 38
422 216 97
141 487 93
30 177 22
461 499 3
271 296 46
163 263 62
438 114 96
313 552 1
30 475 8
514 203 8
425 381 78
71 169 80
354 560 28
482 290 85
507 181 23
285 336 42
457 132 46
323 234 18
411 364 60
286 436 10
119 256 66
76 475 97
416 174 98
214 480 52
408 539 67
280 576 79
284 9 70
341 187 11
258 149 62
284 511 8
80 61 92
161 209 16
393 130 76
22 392 55
165 53 83
35 331 66
295 565 70
95 477 62
141 436 12
165 315 73
16 387 12
253 152 54
137 445 20
9 258 9
551 314 2
488 405 50
456 317 61
426 208 17
506 111 4
159 484 14
547 175 72
452 202 71
450 513 5
411 402 5
7 369 74
344 562 85
240 328 31
114 281 99
13 212 86
280 551 39
235 324 59
481 16 12
24 168 50
371 123 71
59 166 17
102 272 49
248 523 95
558 126 65
144 372 60
38 362 56
29 254 8
255 206 95
323 407 22
401 165 31
547 592 24
520 353 70
68 540 15
360 32 73
379 53 59
176 593 86
178 235 10
442 305 84
567 113 54
295 490 53
142 175 47
298 528 29
596 459 34
542 188 94
19 137 65
298 250 90
113 112 85
467 141 30
401 53 12
463 101 16
15 71 48
103 357 79
530 264 30
18 72 28
0 519 8
495 43 45
505 563 3
191 301 63
241 209 41
359 270 78
451 558 26
92 566 21
159 501 84
63 25 29
8 104 9
493 458 79
9 596 2
541 285 26
163 461 26
195 366 29
223 315 79
1 559 87
503 128 16
151 291 98
46 567 73
579 266 76
521 590 66
449 480 77
33 3 27
122 84 34
427 470 43
161 38 94
395 153 72
207 395 12
284 64 22
198 561 25
325 268 99
206 67 11
279 39 71
484 227 34
6 432 44
512 283 81
126 13 28
178 371 16
353 90 13
407 531 2
46 207 26
94 471 37
69 121 4
537 191 36
460 373 5
298 405 26
262 174 82
165 432 53
295 71 77
531 494 75
48 144 13
392 462 16
551 42 23
65 550 95
318 435 21
262 42 62
521 459 12
311 313 82
153 563 97
521 309 19
192 599 34
105 363 70
560 300 1
459 217 20
445 359 73
112 30 12
99 53 19
563 500 75
552 254 16
289 550 42
559 333 67
143 158 58
330 170 6
48 535 22
447 0 6
272 589 59
446 105 87
211 160 30
371 142 93
365 139 87
158 240 19
441 448 44
110 413 97
291 69 90
404 205 28
373 70 92
104 422 92
349 120 17
71 89 25
370 312 23
344 71 38
127 24 62
73 576 72
245 97 96
207 72 96
386 44 21
167 104 51
328 264 4
187 156 21
326 147 13
478 265 3
302 80 39
269 103 28
333 288 47
442 490 25
468 226 2
419 123 37
413 540 11
450 182 24
24 156 50
88 117 68
344 557 12
45 182 33
144 272 11
404 192 92
29 486 45
388 389 10
310 121 2
71 483 97
243 475 83
90 337 17
80 26 7
454 409 97
83 155 48
138 498 32
323 573 98
502 204 72
74 522 38
292 522 30
292 251 15
555 53 70
465 474 42
573 21 23
65 92 2
368 451 46
171 357 58
94 361 59
33 16 2
535 29 7
184 251 99
409 416 45
198 186 56
32 511 6
389 117 77
216 175 81
161 356 87
331 310 7
115 105 57
316 405 22
113 253 44
569 5 26
555 392 72
154 88 19
244 399 77
391 457 53
559 501 73
450 543 17
317 322 6
189 505 11
433 412 56
10 465 40
558 342 65
511 486 16
41 99 43
396 539 90
49 224 53
426 182 11
378 85 22
416 370 43
477 515 98
352 186 53
169 243 87
160 265 22
274 321 4
193 219 78
345 157 2
486 529 33
301 424 8
504 256 43
234 355 56
330 90 66
83 421 28
255 324 13
498 246 38
426 478 6
483 469 10
20 100 22
160 241 39
359 318 41
320 328 78
370 80 63
271 197 90
193 176 1
514 364 88
156 558 51
272 101 35
354 264 43
503 453 81
160 202 27
574 24 85
553 357 93
591 522 71
158 153 51
11 48 3
562 6 33
99 320 56
521 24 65
394 431 30
23 418 59
326 59 64
507 576 51
374 227 80
339 173 9
367 88 35
544 284 29
496 328 4
546 82 100
318 60 18
360 149 27
85 391 56
510 354 64
332 165 29
52 154 23
329 541 52
576 61 50
454 382 27
157 215 78
596 24 40
174 118 2
30 516 30
533 89 22
230 24 42
441 137 28
17 368 94
547 456 28
215 71 29
495 508 4
114 77 59
267 498 82
274 557 21
60 439 67
494 146 70
172 268 42
481 36 90
223 438 23
113 367 35
271 141 77
263 166 7
349 428 77
499 351 53
224 395 72
583 516 92
151 31 50
94 409 54
210 309 73
495 411 43
210 436 90
14 89 22
587 373 11
412 512 6
292 483 40
241 222 86
521 310 16
2 261 79
334 144 80
424 279 68
378 595 42
58 220 37
299 556 94
104 377 77
102 203 72
527 109 31
463 43 6
144 75 44
349 140 69
8 211 31
408 251 84
252 259 54
461 506 72
345 330 77
193 422 57
596 83 21
63 598 6
587 54 16
281 169 50
199 241 1
326 585 9
181 71 46
396 511 36
293 330 26
144 449 4
470 575 92
381 127 72
187 489 73
263 392 72
392 53 68
312 229 62
507 193 100
262 563 97
128 399 1
149 241 47
568 195 47
164 333 73
269 549 39
584 249 65
195 171 3
512 498 11
34 297 78
531 376 74
186 64 78
282 479 41
556 171 14
105 263 4
286 266 3
79 499 68
222 379 70
541 31 82
262 242 69
30 3 3
68 342 48
151 504 69
410 131 1
170 324 48
355 412 71
435 159 98
180 508 16
379 127 57
75 539 16
42 386 42
448 380 9
174 277 98
512 443 97
161 9 26
506 127 67
339 97 33
475 264 48
529 546 19
86 81 47
147 23 90
545 107 8
186 208 87
386 475 87
589 168 23
88 466 29
286 566 72
359 412 96
467 463 74
202 53 74
359 163 64
562 330 11
170 310 6
180 161 2
34 499 51
368 147 76
42 205 23
111 144 16
352 512 98
392 352 73
446 277 79
236 39 91
363 549 91
499 216 33
529 267 5
172 471 62
140 129 77
367 158 94
88 454 15
499 99 19
575 152 94
480 79 97
230 470 64
358 227 69
248 305 27
38 216 10
287 0 53
383 459 67
355 342 75
270 10 56
466 61 8
184 290 64
452 415 91
69 339 30
170 338 74
371 219 7
397 257 19
7 5 8
430 302 30
89 447 87
544 292 96
12 389 83
215 199 48
46 3 28
392 277 46
369 418 43
382 598 6
325 94 61
266 27 22
556 503 26
359 250 69
157 393 83
545 514 67
598 417 10
28 73 36
331 10 27
499 588 33
408 134 25
575 546 44
599 40 44
513 183 3
494 454 62
338 20 19
381 94 88
527 241 29
392 163 80
306 41 57
79 143 30
254 431 52
72 480 13
567 330 52
480 333 4
441 175 49
20 587 9
93 403 81
238 473 61
492 424 92
233 247 29
245 45 13
485 237 54
567 485 68
188 528 18
125 64 91
508 564 70
567 440 67
465 401 69
282 332 90
425 318 14
340 332 59
288 77 8
34 537 10
157 86 34
267 154 10
136 125 33
243 233 82
288 572 48
225 500 69
7 513 1
403 459 67
474 446 83
549 505 41
156 554 10
355 14 48
461 345 20
63 302 41
560 70 53
451 495 94
434 170 74
225 495 42
404 374 4
99 437 66
253 521 65
274 320 68
148 93 51
259 288 46
189 297 49
595 395 56
504 181 92
125 515 13
315 424 84
451 519 60
319 107 80
423 351 50
468 41 15
293 118 97
163 563 72
478 556 21
418 135 48
141 521 34
373 471 20
577 291 57
102 197 50
114 110 3
52 307 61
294 27 65
301 217 96
41 452 30
91 147 24
75 270 96
52 141 15
162 477 80
212 476 88
10 188 86
484 81 25
327 588 37
218 63 100
540 355 99
251 467 15
488 584 84
269 347 16
53 408 87
84 21 1
80 243 28
307 223 89
455 74 80
572 41 74
267 9 93
181 310 36
41 417 90
420 519 33
176 584 27
16 91 3
459 47 36
371 542 72
94 143 53
318 456 21
335 385 94
398 365 59
527 260 17
397 527 91
74 182 63
130 123 13
206 188 46
291 536 90
259 583 74
228 203 94
476 354 98
207 505 45
94 315 21
223 362 68
342 171 28
592 451 26
273 250 97
253 123 16
117 35 59
330 547 81
255 146 80
2 544 95
550 114 93
589 161 46
223 89 75
180 437 28
407 179 10
370 229 40
439 561 22
151 101 89
312 283 36
298 370 31
141 568 88
55 182 85
226 583 63
501 507 78
542 222 39
588 126 43
504 124 69
101 97 31
596 237 90
317 313 27
129 541 39
375 458 36
36 394 35
348 528 84
427 57 15
170 389 88
544 588 50
301 539 56
495 365 34
372 25 51
384 45 5
371 0 82
30 164 95
157 160 32
111 584 32
332 161 71
79 43 91
70 202 12
230 559 92
330 546 84
141 181 93
557 311 46
286 568 21
195 22 7
378 547 48
157 161 21
355 470 93
199 113 56
259 276 40
229 256 91
235 89 55
425 503 49
98 8 80
117 17 39
261 439 40
251 472 53
489 237 53
299 208 75
549 314 71
285 422 80
397 163 84
163 393 24
373 597 43
186 252 24
361 300 29
264 263 53
454 24 40
544 387 76
58 304 65
478 434 21
269 359 53
279 394 1
337 430 52
397 372 1
297 555 75
177 71 90
337 193 3
175 126 88
363 186 37
293 575 8
396 413 37
303 450 78
562 113 20
514 329 34
416 461 40
304 301 53
214 357 93
358 523 34
457 38 82
95 228 88
352 252 44
580 484 33
479 197 75
372 152 59
264 484 19
378 542 99
375 582 9
71 83 25
506 409 95
36 329 74
292 121 84
558 356 11
103 533 12
521 428 45
516 288 52
233 281 32
171 353 12
206 440 99
326 6 52
262 408 64
531 520 43
494 551 94
275 365 77
575 249 38
94 37 71
475 575 88
466 371 15
380 101 64
359 593 18
68 309 21
43 247 88
119 226 8
46 495 33
363 369 4
377 304 2
201 579 36
570 91 19
433 170 65
353 181 62
465 182 1
515 226 64
131 94 43
152 51 52
337 503 16
234 49 43
202 165 70
498 43 91
450 260 67
169 195 25
244 81 5
530 495 63
455 187 24
544 248 67
152 500 100
388 38 30
444 397 45
243 276 14
446 123 63
300 526 42
494 107 36
567 201 84
352 242 8
469 279 70
243 589 62
41 16 10
593 292 74
2 516 76
379 224 41
422 375 17
380 554 100
26 487 24
126 95 6
378 167 100
129 392 28
181 119 52
317 419 19
238 533 62
336 156 65
319 363 25
508 226 51
185 226 92
233 258 71
421 210 89
323 578 59
396 5 58
490 441 83
500 44 86
550 473 76
391 202 34
372 559 37
589 313 81
74 104 64
2 582 27
162 47 75
362 298 91
247 238 60
547 252 8
437 531 18
577 581 8
104 310 3
2 533 79
462 441 39
492 250 63
274 589 7
524 86 69
354 185 66
334 191 76
561 348 94
242 233 27
367 31 18
98 423 77
362 487 19
39 502 43
205 502 47
240 241 60
138 361 38
99 562 91
502 52 68
249 359 52
548 80 99
423 517 31
16 517 29
324 84 52
313 68 12
213 549 69
264 506 49
271 504 86
502 150 90
320 105 91
73 390 4
118 488 26
104 474 88
180 81 56
467 180 81
585 199 16
74 317 10
474 400 97
310 73 26
426 509 49
510 488 88
493 206 3
381 80 21
8 500 86
154 169 34
280 520 40
564 485 43
73 524 74
17 234 57
498 187 70
430 344 81
570 366 45
168 282 81
530 119 30
565 544 24
427 292 14
485 14 73
591 246 45
587 99 38
522 430 10
491 281 37
370 597 52
50 528 72
574 588 55
121 370 91
359 441 39
495 28 2
308 508 34
54 448 71
547 22 6
432 230 51
323 536 93
500 54 28
228 581 57
169 153 30
349 566 30
540 13 84
209 33 29
103 517 50
238 317 36
120 310 71
489 199 22
229 431 83
244 336 25
203 216 51
285 6 25
486 465 90
472 149 97
195 232 67
583 48 12
42 554 36
58 153 22
216 86 43
488 36 78
230 43 62
431 282 4
9 451 10
408 175 57
418 491 39
171 199 57
187 215 91
27 16 3
359 125 12
562 79 56
460 99 98
15 276 7
405 118 40
378 310 69
36 388 45
288 458 86
202 145 41
283 398 23
142 239 1
60 497 32
263 389 11
225 25 5
591 154 83
382 243 26
92 375 40
514 477 92
202 110 24
105 382 62
491 100 24
502 389 6
499 425 84
128 259 93
79 70 58
456 158 92
156 5 67
276 172 63
550 79 12
323 347 59
188 500 8
473 582 13
84 577 55
423 534 19
205 507 8
21 131 7
286 243 72
358 371 29
559 84 55
219 284 19
175 354 87
474 547 46
333 53 1
89 362 36
527 43 62
346 76 70
271 225 27
348 210 15
75 443 73
13 370 51
507 340 21
12 97 64
61 163 92
92 277 51
11 252 18
236 575 1
65 214 77
241 330 8
588 59 84
206 490 66
460 378 45
423 309 54
2 518 79
409 558 21
144 178 75
301 472 18
598 583 74
212 37 19
552 362 47
3 433 41
436 143 17
34 108 70
279 489 97
448 524 6
41 276 71
412 568 15
584 181 60
473 203 76
35 157 41
387 33 98
552 48 52
280 49 81
517 392 16
462 520 1
137 165 31
49 220 38
376 579 23
324 557 88
576 425 100
557 134 13
19 67 75
433 120 46
230 383 9
79 144 93
474 108 78
501 336 70
532 305 57
446 1 83
3 278 60
190 177 73
147 286 55
160 15 30
524 594 52
201 318 41
34 415 35
408 518 62
173 425 67
590 596 90
131 401 49
411 541 38
85 172 95
38 90 23
309 346 55
240 203 21
134 314 95
206 195 41
210 316 18
464 487 20
294 318 73
138 88 75
317 241 67
399 468 52
205 390 16
319 342 96
131 37 52
376 252 15
267 41 63
469 440 79
527 74 68
191 545 2
264 0 9
27 564 80
410 295 78
467 388 15
496 19 18
324 544 79
280 97 94
479 375 50
92 182 43
432 130 96
217 370 51
56 67 28
32 332 76
365 430 98
147 218 28
167 279 70
450 512 55
45 551 76
398 452 39
211 457 36
144 363 68
159 487 97
465 478 75
513 260 41
120 282 16
248 153 24
87 587 99
274 395 87
434 55 26
171 324 42
216 551 3
222 42 88
138 336 15
113 353 99
312 279 15
402 244 57
306 579 88
88 594 73
262 455 47
556 273 61
154 348 100
32 337 88
136 583 71
401 196 23
63 439 48
161 112 46
506 364 95
136 367 90
0 146 77
111 440 12
489 331 47
565 24 84
103 110 93
333 144 91
477 331 36
234 521 12
451 258 39
122 116 5
252 363 51
302 385 71
358 512 29
556 264 36
204 372 59
206 152 59
226 348 93
448 9 92
577 495 68
438 190 96
230 299 47
458 450 87
427 503 65
493 60 83
288 535 58
421 446 19
181 519 61
494 21 27
387 86 43
389 33 18
334 202 24
440 63 19
214 586 32
103 181 22
353 4 57
589 508 13
564 328 5
271 491 9
141 455 47
323 435 51
380 286 90
46 446 19
143 565 88
494 559 96
419 525 82
412 384 38
180 337 57
212 498 60
559 36 54
525 73 15
383 16 6
185 321 53
91 350 30
312 316 93
152 517 60
465 550 30
585 126 44
504 544 11
271 132 5
532 461 50
472 73 13
339 98 71
310 298 61
135 593 4
591 586 43
494 580 30
367 283 28
304 30 97
108 101 62
350 559 44
462 203 39
180 130 84
161 306 8
334 581 37
540 437 92
528 594 88
507 54 35
521 490 27
86 546 46
223 416 43
403 12 73
95 227 37
167 321 28
439 492 5
253 425 37
10 429 17
555 157 51
563 102 29
280 452 56
427 371 61
101 184 2
441 37 73
473 523 38
353 274 94
169 441 83
159 345 95
310 59 60
312 416 19
438 14 44
431 304 2
584 48 99
382 321 28
397 379 36
314 255 40
493 308 31
362 210 15
488 310 50
543 595 49
106 42 31
109 196 69
266 347 29
476 78 18
208 535 14
436 333 13
235 441 64
40 459 50
263 483 96
114 590 34
169 301 20
13 487 69
464 199 17
158 548 39
527 278 39
590 7 54
385 307 2
76 14 73
321 426 52
279 541 93
169 252 15
62 418 52
256 431 97
26 493 22
340 270 48
574 77 2
554 429 38
477 287 61
178 568 27
459 227 85
14 260 94
415 366 3
124 358 45
313 91 82
503 306 44
240 358 96
216 567 28
472 599 23
91 583 1
429 151 94
571 469 9
27 283 24
367 551 26
286 167 69
291 441 41
422 203 63
77 30 75
192 173 14
375 99 5
396 519 75
155 90 41
115 513 15
13 106 55
587 118 96
264 121 71
578 291 5
133 135 25
174 393 84
406 470 12
507 449 93
293 445 54
87 441 35
557 15 80
551 580 49
259 188 56
89 363 79
5 599 56
544 477 85
388 293 46
550 463 57
300 24 86
570 178 71
258 527 6
30 550 75
85 252 53
492 579 34
453 573 62
157 76 77
92 581 20
471 209 76
193 168 68
257 430 37
73 533 60
152 116 9
467 64 31
144 146 45
462 530 76
244 178 4
228 555 4
271 434 94
132 160 62
564 302 73
150 273 55
230 409 72
240 107 54
355 559 87
517 577 11
309 296 12
192 184 19
27 458 63
9 113 36
214 462 23
73 165 44
547 492 16
412 154 66
167 501 12
594 215 69
22 520 36
3 255 14
582 418 6
568 52 51
222 530 50
152 1 57
408 172 92
163 490 29
473 483 55
411 240 83
33 24 23
242 274 52
598 522 24
535 564 59
119 111 32
488 74 2
138 282 74
25 123 33
302 594 93
471 241 61
271 136 46
383 243 68
457 121 39
446 146 16
7 321 38
101 394 59
44 180 84
454 443 2
328 162 90
282 264 31
92 7 34
299 407 41
456 216 56
185 440 44
141 440 10
58 509 47
312 251 17
468 348 97
584 6 9
578 32 22
234 2 70
149 505 16
243 575 95
451 330 55
79 457 79
502 395 40
558 152 78
89 230 40
405 134 71
405 537 13
29 523 8
524 262 61
189 564 99
212 557 46
294 589 67
294 458 67
153 477 84
83 228 99
541 497 69
238 13 47
298 364 71
424 358 98
598 474 76
15 355 80
84 160 20
241 303 40
92 189 23
362 430 44
294 479 63
465 127 1
360 573 68
276 473 86
189 153 24
182 292 93
196 135 19
36 387 12
373 190 94
472 223 36
455 418 32
355 333 8
13 91 81
470 580 37
575 100 73
554 525 7
361 490 37
108 557 55
340 479 46
72 293 46
278 547 98
8 164 2
540 200 92
244 366 55
41 90 3
155 333 86
340 29 3
522 275 73
116 251 78
5 79 10
43 257 35
45 225 46
510 40 69
520 537 44
262 364 22
265 401 33
527 214 32
216 518 12
8 566 15
365 23 38
518 296 15
30 101 27
181 339 80
197 18 3
425 443 45
329 384 73
230 75 71
340 494 73
191 219 29
330 142 98
32 562 52
81 416 87
584 365 47
595 62 65
512 213 63
320 539 70
59 128 83
165 534 72
416 428 99
203 307 59
593 376 46
485 114 48
161 386 17
36 257 94
50 520 4
512 195 63
36 542 100
368 270 59
386 299 3
486 252 57
173 174 89
130 403 82
281 78 94
345 137 99
410 351 30
574 43 13
372 215 48
500 421 67
76 126 62
406 559 32
586 27 60
340 129 52
28 136 58
59 478 18
442 384 73
138 43 61
565 275 80
16 350 73
216 373 42
452 91 100
472 570 47
34 525 22
168 428 65
440 578 61
469 32 34
233 375 98
189 291 92
245 412 64
366 215 92
582 125 76
65 245 57
515 238 100
355 186 83
360 576 99
137 24 34
32 514 57
80 180 18
481 251 22
378 231 3
577 136 27
414 178 20
3 452 79
67 462 75
308 173 18
122 291 84
383 566 1
144 221 15
263 117 92
165 559 28
562 187 1
466 578 6
55 244 45
584 555 97
256 362 74
422 62 21
440 561 95
354 248 29
187 481 94
354 253 52
102 446 44
143 304 97
401 485 59
174 189 84
588 358 93
453 544 69
590 82 46
312 475 51
91 498 3
408 352 22
518 422 35
371 220 98
91 506 45
453 207 42
237 559 80
518 553 88
238 435 28
29 578 80
402 519 30
570 491 24
273 81 89
470 59 33
97 567 39
194 141 51
579 224 66
408 153 30
62 175 64
463 336 89
15 128 75
127 580 38
66 575 31
141 572 18
524 128 24
530 466 76
315 506 73
573 534 49
450 499 95
69 341 33
481 392 98
241 168 88
389 431 14
383 336 100
44 353 75
256 359 44
117 306 22
26 399 79
152 41 66
305 463 88
141 156 38
357 190 98
371 562 28
269 107 44
10 408 45
486 569 5
463 131 58
28 566 41
70 595 69
257 328 14
395 582 30
117 283 77
583 250 15
197 595 26
131 219 16
235 584 70
54 542 29
93 189 80
546 13 61
129 51 31
597 239 70
113 69 23
313 523 84
266 76 58
39 248 38
31 30 78
373 415 74
580 512 90
263 157 49
420 335 21
544 492 38
284 313 74
95 583 39
289 385 26
53 309 32
436 82 33
424 340 94
205 552 69
305 320 95
33 393 58
580 57 88
250 74 62
36 18 100
224 514 33
529 105 25
171 250 57
546 458 6
337 597 85
312 567 40
43 460 88
388 250 49
316 216 40
293 50 32
199 237 82
212 391 100
241 309 6
340 200 46
122 40 85
185 128 15
341 518 41
305 107 51
272 297 70
161 177 57
175 184 22
272 441 98
37 318 55
9 32 100
17 359 5
539 43 22
583 168 87
247 261 89
402 321 54
512 524 29
332 488 89
294 346 28
278 405 1
573 45 41
66 40 30
196 250 15
63 62 3
18 128 18
574 148 16
398 86 1
277 198 95
56 47 16
128 382 66
27 452 83
457 523 82
558 10 71
221 398 95
259 593 38
247 147 2
31 8 48
369 442 52
150 29 61
273 585 1
243 83 72
82 89 54
22 305 59
254 294 55
290 527 16
231 227 75
165 585 68
261 83 66
215 80 96
297 589 59
552 243 23
361 579 7
492 177 75
36 333 76
586 363 2
27 575 51
287 511 88
284 70 44
278 324 39
547 409 43
87 199 93
24 62 68
460 536 23
188 126 51
165 213 71
166 19 68
573 279 3
240 584 74
163 592 48
180 16 39
425 337 73
514 245 81
530 165 5
410 167 68
319 108 79
565 13 29
335 525 17
378 225 20
407 512 64
232 326 86
442 151 10
277 114 5
495 375 10
120 568 54
378 356 32
97 183 96
541 45 67
87 161 31
405 335 71
153 228 21
574 262 32
108 472 41
150 300 42
515 516 37
483 287 35
272 281 86
574 212 28
582 211 32
177 90 79
484 253 30
134 350 91
511 496 67
488 101 60
164 69 57
398 172 55
227 246 53
440 283 12
586 300 21
462 514 86
167 253 33
25 578 31
572 68 68
187 60 40
549 149 92
77 530 3
269 402 54
362 268 92
337 120 94
401 413 74
588 89 28
316 424 87
304 140 6
370 46 58
222 100 69
290 230 46
512 183 56
410 304 45
119 501 98
331 11 57
132 107 41
50 138 24
446 281 86
152 57 30
551 561 16
271 316 95
179 115 3
459 23 16
456 12 49
71 396 42
550 228 14
16 171 30
343 179 52
434 50 21
334 553 30
101 251 91
311 464 80
11 107 24
17 302 1
540 29 4
340 371 43
369 458 83
418 210 61
8 171 24
57 298 6
239 170 72
507 119 100
435 385 98
447 183 18
503 79 6
276 279 48
409 330 21
212 575 54
160 95 94
182 115 75
546 7 8
576 359 21
472 294 37
216 260 23
476 102 5
58 169 22
393 249 62
182 135 14
401 212 17
24 384 11
394 586 57
462 310 8
361 544 35
348 359 41
373 172 30
461 180 95
472 345 48
431 563 72
548 88 94
4 178 45
278 438 67
583 366 3
279 54 79
196 259 66
445 515 67
261 527 34
398 38 82
313 267 42
505 403 55
34 452 65
473 229 45
379 421 89
131 289 33
367 159 41
498 194 25
77 411 84
129 583 27
595 7 36
362 236 73
248 186 56
486 530 65
544 261 81
306 97 35
330 362 99
389 60 92
535 13 24
561 41 89
103 272 12
354 498 13
171 263 37
499 62 90
441 258 41
588 448 85
262 1 23
97 566 34
14 162 63
499 324 57
539 463 8
122 203 94
490 523 55
27 558 29
502 169 72
314 348 87
53 238 5
314 416 76
345 487 43
558 128 23
148 512 3
138 260 34
260 483 12
98 201 91
240 223 27
234 247 22
73 222 89
389 487 95
61 334 26
166 402 15
598 51 35
254 237 45
513 451 54
227 46 94
276 75 5
329 180 80
269 104 46
158 122 11
318 61 32
461 502 49
263 174 24
456 463 43
332 162 69
588 181 70
552 182 100
235 534 41
418 432 10
82 195 100
139 351 55
314 90 38
78 433 14
309 455 94
53 586 40
110 256 7
398 274 72
567 100 61
378 101 47
10 492 74
114 66 13
597 492 84
555 507 100
364 108 24
589 514 56
290 477 52
498 176 62
7 459 14
583 215 67
502 596 59
559 229 23
326 410 24
148 159 11
249 439 67
581 21 8
280 138 51
178 276 42
579 368 94
142 441 78
264 364 12
403 432 99
486 485 41
69 89 53
478 100 69
503 314 43
359 484 19
132 478 63
506 252 77
115 569 92
355 377 23
365 424 58
546 171 61
267 492 22
585 417 68
220 286 35
161 90 21
64 446 99
445 208 84
500 110 57
470 132 19
70 551 65
395 44 74
40 455 86
297 365 48
8 568 29
323 27 50
573 92 98
429 71 53
270 244 95
31 328 74
3 109 42
440 58 38
521 557 61
353 525 20
592 555 23
122 145 14
133 218 73
55 494 14
534 204 87
152 322 49
425 241 99
169 151 28
351 80 20
269 135 51
303 588 65
530 498 66
401 414 71
297 168 49
307 593 55
99 63 63
517 500 41
449 50 43
307 409 73
436 574 45
3 101 13
349 35 67
539 2 75
145 412 52
41 548 22
482 227 63
319 538 15
88 207 93
594 415 61
12 192 73
141 69 85
447 303 87
314 169 92
72 518 3
323 316 88
407 502 72
527 202 33
569 461 72
282 201 65
307 427 55
140 257 90
274 569 84
88 170 74
444 170 23
577 367 51
200 317 31
423 273 98
326 104 93
523 445 55
518 547 49
